campaign_id,campaign_name,channel,strategy_version,start_at,end_at,targeted_records,targeted_accounts,calls,called_accounts,total_duration_sec,attributed_successful_payments,attributed_recovery,paying_accounts,payment_conversion_pct,recovery_per_targeted_account
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,2026-02-17 06:56:01,2026-04-24 06:56:01,381,378,732,723,330276,15,1265943.03,15,3.968253968253968,3349.055634920635
CMP0000002,BOUNCE,MIXED,v2,2026-04-30 17:51:31,2026-05-18 17:51:31,373,371,755,746,350729,15,1434324.0699999998,15,4.0431266846361185,3866.1026145552555
CMP0000003,30DPD_W1,MIXED,v1,2026-04-11 16:02:51,2026-05-18 16:02:51,387,384,730,719,332469,10,779942.6799999999,10,2.604166666666667,2031.1007291666665
CMP0000004,BOUNCE,VOICE,legacy,2026-04-28 06:15:30,2026-05-29 06:15:30,365,364,736,727,331660,11,1255758.48,11,3.021978021978022,3449.885934065934
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,2026-05-04 04:16:21,2026-07-08 04:16:21,396,394,768,759,349802,17,1159349.9,17,4.314720812182741,2942.512436548223
CMP0000006,BOUNCE,MIXED,legacy,2026-01-23 09:30:10,2026-04-13 09:30:10,393,390,749,740,329147,16,1304645.99,16,4.102564102564102,3345.246128205128
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,2026-02-14 15:20:05,2026-04-22 15:20:05,380,380,715,707,328839,14,1173356.76,14,3.684210526315789,3087.780947368421
CMP0000008,NPA_RECOVERY,SMS,v2,2026-05-21 10:58:25,2026-06-27 10:58:25,369,368,743,731,328534,12,795411.11,12,3.260869565217391,2161.443233695652
CMP0000009,60DPD_INTENT,WHATSAPP,v1,2026-04-18 15:47:29,2026-06-07 15:47:29,339,337,732,714,335872,17,1248690.46,17,5.044510385756676,3705.31293768546
CMP0000010,30DPD_W1,FIELD,v1,2026-02-14 13:09:24,2026-04-30 13:09:24,395,392,726,720,333636,11,803286.88,11,2.806122448979592,2049.201224489796
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,2026-04-25 20:04:28,2026-05-11 20:04:28,348,345,705,695,303443,16,1210116.98,15,4.3478260869565215,3507.5854492753624
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,2026-01-25 09:30:00,2026-04-09 09:30:00,362,360,739,734,353345,16,1225766.11,16,4.444444444444445,3404.9058611111113
CMP0000013,30DPD_W1,VOICE,v2,2026-02-11 05:46:54,2026-03-14 05:46:54,391,390,758,746,340252,17,1164506.08,17,4.358974358974359,2985.913025641026
CMP0000014,NPA_RECOVERY,SMS,v1,2026-01-08 18:14:10,2026-02-13 18:14:10,380,378,788,781,346363,18,1321846.45,18,4.761904761904762,3496.9482804232803
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,2026-01-15 11:24:07,2026-01-22 11:24:07,379,378,781,770,357045,15,1219863.96,15,3.968253968253968,3227.153333333333
CMP0000016,NPA_RECOVERY,MIXED,v1,2026-01-03 16:12:01,2026-02-10 16:12:01,389,386,746,736,342004,16,1290208.33,16,4.145077720207254,3342.5086269430053
CMP0000017,NPA_RECOVERY,MIXED,v3,2026-04-04 07:20:05,2026-04-13 07:20:05,396,394,700,693,316774,12,740373.14,11,2.7918781725888326,1879.1196446700508
CMP0000018,60DPD_INTENT,SMS,legacy,2026-03-18 01:50:57,2026-03-27 01:50:57,377,375,737,722,348773,12,1081969.27,11,2.933333333333333,2885.251386666667
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,2026-01-02 07:31:38,2026-03-31 07:31:38,379,377,761,748,357202,7,674912.28,7,1.8567639257294428,1790.21824933687
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,2026-05-29 18:13:39,2026-08-16 18:13:39,372,372,727,720,325229,12,997057.2999999999,12,3.225806451612903,2680.261559139785
CMP0000021,NPA_RECOVERY,FIELD,legacy,2026-03-06 23:00:21,2026-04-27 23:00:21,397,395,736,724,332396,19,1396354.35,19,4.810126582278481,3535.0743037974685
CMP0000022,60DPD_INTENT,VOICE,v3,2026-02-14 11:32:48,2026-02-22 11:32:48,365,364,758,746,337865,16,1176778.96,16,4.395604395604396,3232.909230769231
CMP0000023,BOUNCE,VOICE,v2,2026-03-23 05:03:48,2026-04-07 05:03:48,421,417,712,703,331792,10,815398.81,10,2.3980815347721824,1955.392829736211
CMP0000024,NPA_RECOVERY,SMS,legacy,2026-04-13 11:03:05,2026-05-20 11:03:05,395,390,747,734,332025,10,923048.9,10,2.564102564102564,2366.7920512820515
CMP0000025,30DPD_W1,FIELD,legacy,2026-02-27 19:43:17,2026-03-09 19:43:17,359,354,724,713,335194,14,1306581.5,14,3.954802259887006,3690.9081920903955
CMP0000026,30DPD_W1,FIELD,legacy,2026-04-13 11:42:06,2026-06-03 11:42:06,386,382,739,731,341939,15,1064489.51,15,3.926701570680628,2786.621753926702
CMP0000027,BOUNCE,VOICE,legacy,2026-05-06 14:37:12,2026-06-18 14:37:12,394,390,756,739,350703,8,462051.9,8,2.051282051282051,1184.7484615384617
CMP0000028,30DPD_W1,SMS,legacy,2026-01-28 06:41:32,2026-02-22 06:41:32,364,360,764,757,335209,14,1057231.0,14,3.888888888888889,2936.7527777777777
CMP0000029,60DPD_INTENT,MIXED,v1,2026-01-30 21:23:04,2026-04-21 21:23:04,404,401,751,743,357900,14,1227300.8800000001,14,3.4912718204488775,3060.6006982543645
CMP0000030,30DPD_W1,SMS,v2,2026-02-25 09:36:33,2026-05-16 09:36:33,389,386,759,755,348139,7,408240.58999999997,7,1.8134715025906734,1057.6181088082901
CMP0000031,30DPD_W1,VOICE,v3,2026-03-03 00:32:23,2026-03-12 00:32:23,372,370,776,772,355012,11,1047101.02,11,2.9729729729729732,2830.0027567567568
CMP0000032,NPA_RECOVERY,MIXED,v2,2026-03-12 04:07:43,2026-03-22 04:07:43,386,383,713,702,330093,12,880534.66,12,3.1331592689295036,2299.0461096605745
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-18 05:20:08,2026-06-10 05:20:08,354,351,762,751,352541,19,1567885.83,19,5.413105413105413,4466.911196581197
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,2026-03-21 17:20:59,2026-05-02 17:20:59,361,357,768,754,360031,16,1109148.73,15,4.201680672268908,3106.85918767507
CMP0000035,30DPD_W1,MIXED,legacy,2026-02-01 21:10:43,2026-04-21 21:10:43,379,378,782,776,358168,9,633207.3300000001,9,2.380952380952381,1675.1516666666669
CMP0000036,30DPD_W1,SMS,v1,2026-04-11 15:43:53,2026-06-23 15:43:53,379,377,791,781,368018,14,770573.85,14,3.7135278514588856,2043.9624668435013
CMP0000037,BOUNCE,SMS,v2,2026-03-07 11:13:43,2026-04-26 11:13:43,356,352,719,716,330043,12,1211297.93,12,3.4090909090909087,3441.1873011363637
CMP0000038,NPA_RECOVERY,FIELD,v2,2026-05-29 20:31:27,2026-06-25 20:31:27,362,361,760,756,346073,12,964904.75,11,3.0470914127423825,2672.8663434903046
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,2026-01-10 21:08:43,2026-02-12 21:08:43,370,368,732,722,336802,18,1318138.74,18,4.891304347826087,3581.89875
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,2026-05-03 20:51:07,2026-05-23 20:51:07,377,374,771,765,345861,12,1165276.22,12,3.2085561497326207,3115.711818181818
CMP0000041,30DPD_W1,SMS,legacy,2026-02-21 12:17:17,2026-03-17 12:17:17,402,400,781,772,343048,6,569585.1,6,1.5,1423.96275
CMP0000042,BOUNCE,FIELD,v3,2026-03-02 00:10:05,2026-03-22 00:10:05,399,398,730,727,334911,15,920340.2200000001,15,3.7688442211055273,2312.4126130653267
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,2026-01-07 22:31:46,2026-01-21 22:31:46,379,376,723,715,336530,9,755772.77,9,2.393617021276596,2010.0339627659575
CMP0000044,NPA_RECOVERY,SMS,v1,2026-03-23 18:14:45,2026-05-06 18:14:45,376,376,737,727,345529,7,562400.85,7,1.8617021276595744,1495.7469414893617
CMP0000045,30DPD_W1,VOICE,v2,2026-03-11 05:48:58,2026-04-20 05:48:58,369,367,755,745,354369,17,1109930.18,17,4.632152588555858,3024.332915531335
CMP0000046,BOUNCE,WHATSAPP,v3,2026-04-15 13:40:26,2026-06-23 13:40:26,389,385,780,772,358370,7,501754.33,7,1.8181818181818181,1303.258
CMP0000047,BOUNCE,WHATSAPP,v2,2026-02-25 09:15:45,2026-05-16 09:15:45,379,379,772,756,345783,20,1631284.56,19,5.013192612137203,4304.180897097625
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,2026-01-13 07:51:48,2026-02-16 07:51:48,348,345,788,775,368621,12,933409.81,12,3.4782608695652173,2705.5356811594206
CMP0000049,60DPD_INTENT,VOICE,v1,2026-05-05 10:04:54,2026-07-19 10:04:54,378,377,773,763,358746,14,886793.87,14,3.7135278514588856,2352.238381962865
CMP0000050,NPA_RECOVERY,SMS,v1,2026-04-25 22:41:49,2026-07-16 22:41:49,374,369,743,728,326262,13,968882.99,12,3.2520325203252036,2625.699159891599
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,2026-01-02 11:35:04,2026-01-23 11:35:04,388,384,727,718,327917,16,1240368.0899999999,16,4.166666666666666,3230.1252343749998
CMP0000052,BOUNCE,SMS,v2,2026-05-08 03:08:50,2026-07-06 03:08:50,378,375,754,747,355643,17,1275631.49,17,4.533333333333333,3401.683973333333
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,2026-02-04 22:16:31,2026-02-20 22:16:31,329,328,739,730,326923,9,659440.88,9,2.7439024390243905,2010.490487804878
CMP0000054,BOUNCE,SMS,v3,2026-03-05 00:26:04,2026-04-02 00:26:04,358,356,761,749,351295,18,1165614.46,18,5.056179775280898,3274.1979213483146
CMP0000055,BOUNCE,MIXED,v3,2026-03-03 13:30:20,2026-03-13 13:30:20,353,347,756,750,358994,11,656128.75,11,3.170028818443804,1890.8609510086455
CMP0000056,60DPD_INTENT,WHATSAPP,v1,2026-05-25 06:47:13,2026-07-06 06:47:13,386,382,740,731,349483,11,745635.79,10,2.6178010471204187,1951.9261518324608
CMP0000057,30DPD_W1,MIXED,v3,2026-04-29 15:21:02,2026-07-13 15:21:02,367,363,755,743,352299,15,1182796.67,15,4.132231404958678,3258.39303030303
CMP0000058,BOUNCE,VOICE,legacy,2026-05-13 19:45:30,2026-05-27 19:45:30,382,381,789,777,367061,13,1140384.12,13,3.4120734908136483,2993.1341732283468
CMP0000059,30DPD_W1,MIXED,legacy,2026-01-27 01:14:56,2026-03-21 01:14:56,377,376,752,743,353179,18,990352.0800000001,18,4.787234042553192,2633.915106382979
CMP0000060,30DPD_W1,SMS,v3,2026-02-04 15:29:51,2026-03-02 15:29:51,389,388,794,785,358361,15,1091802.5699999998,15,3.865979381443299,2813.9241494845355
CMP0000061,30DPD_W1,WHATSAPP,v3,2026-04-14 08:22:26,2026-04-28 08:22:26,365,364,766,753,349981,12,831468.75,12,3.296703296703297,2284.2548076923076
CMP0000062,NPA_RECOVERY,SMS,legacy,2026-04-26 07:08:27,2026-06-17 07:08:27,369,367,732,725,342972,13,776967.6900000001,12,3.2697547683923704,2117.078174386921
CMP0000063,BOUNCE,WHATSAPP,v1,2026-03-20 08:06:07,2026-04-08 08:06:07,387,383,735,725,328021,17,1301239.95,17,4.43864229765013,3397.4933420365533
CMP0000064,60DPD_INTENT,FIELD,v2,2026-02-05 08:13:24,2026-04-07 08:13:24,396,395,762,748,342781,12,883458.6799999999,11,2.7848101265822782,2236.6042531645567
CMP0000065,30DPD_W1,WHATSAPP,v3,2026-04-15 00:12:07,2026-05-08 00:12:07,394,392,775,764,345786,14,1014422.4,12,3.061224489795918,2587.8122448979593
CMP0000066,60DPD_INTENT,WHATSAPP,v2,2026-03-17 23:43:03,2026-05-27 23:43:03,370,369,726,720,326751,10,858544.0,9,2.4390243902439024,2326.6775067750677
CMP0000067,30DPD_W1,MIXED,v2,2026-03-28 15:50:36,2026-05-10 15:50:36,372,370,734,728,324967,10,715382.7899999999,10,2.7027027027027026,1933.4669999999999
CMP0000068,NPA_RECOVERY,VOICE,v1,2026-05-22 16:53:20,2026-07-09 16:53:20,364,363,742,736,344189,13,1281530.62,12,3.3057851239669422,3530.3873829201107
CMP0000069,BOUNCE,SMS,v3,2026-01-27 11:23:30,2026-02-20 11:23:30,378,374,736,725,345784,11,849996.57,11,2.941176470588235,2272.7181016042778
CMP0000070,60DPD_INTENT,WHATSAPP,v1,2026-01-01 09:34:51,2026-02-26 09:34:51,390,390,765,758,362711,11,970131.87,11,2.8205128205128207,2487.5176153846155
CMP0000071,30DPD_W1,MIXED,v3,2026-05-20 01:55:18,2026-05-27 01:55:18,363,362,715,707,326149,21,2014395.25,20,5.524861878453039,5564.62776243094
CMP0000072,30DPD_W1,WHATSAPP,v2,2026-04-07 15:47:41,2026-05-31 15:47:41,361,360,789,777,362842,19,1334031.79,18,5.0,3705.643861111111
CMP0000073,60DPD_INTENT,SMS,v2,2026-02-28 03:36:18,2026-05-01 03:36:18,351,345,724,712,334857,5,353741.84,5,1.4492753623188406,1025.3386666666668
CMP0000074,BOUNCE,MIXED,legacy,2026-01-13 08:31:25,2026-03-20 08:31:25,365,363,741,735,334270,15,1030025.99,15,4.132231404958678,2837.537162534435
CMP0000075,30DPD_W1,WHATSAPP,v3,2026-04-09 08:03:12,2026-05-19 08:03:12,360,359,741,730,339828,10,918500.38,10,2.785515320334262,2558.4968802228414
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,2026-01-30 08:50:48,2026-03-01 08:50:48,385,382,724,713,341235,13,829260.91,13,3.4031413612565444,2170.8400785340314
CMP0000077,BOUNCE,FIELD,v1,2026-01-14 07:27:53,2026-01-30 07:27:53,372,370,722,714,325449,11,1007985.72,11,2.9729729729729732,2724.2857297297296
CMP0000078,60DPD_INTENT,SMS,v2,2026-02-01 10:00:16,2026-02-15 10:00:16,377,373,696,690,328948,14,664807.22,14,3.753351206434316,1782.324986595174
CMP0000079,NPA_RECOVERY,MIXED,legacy,2026-04-02 00:02:58,2026-05-16 00:02:58,371,368,804,793,358091,10,680227.49,10,2.717391304347826,1848.4442663043478
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,2026-03-03 17:19:15,2026-05-13 17:19:15,363,361,759,751,351759,11,1016207.26,11,3.0470914127423825,2814.978559556787
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-08 02:43:40,2026-06-09 02:43:40,356,354,760,751,347170,13,1062153.88,13,3.672316384180791,3000.4346892655362
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,2026-03-22 19:38:40,2026-05-27 19:38:40,403,402,729,714,337664,10,577213.87,10,2.4875621890547266,1435.8553980099502
CMP0000083,BOUNCE,WHATSAPP,v2,2026-05-08 17:33:24,2026-06-07 17:33:24,360,357,783,772,364242,10,881364.71,10,2.801120448179272,2468.808711484594
CMP0000084,BOUNCE,FIELD,legacy,2026-01-22 22:40:49,2026-02-26 22:40:49,378,375,743,739,337183,14,989686.31,14,3.733333333333334,2639.1634933333335
CMP0000085,60DPD_INTENT,MIXED,legacy,2026-04-21 22:27:22,2026-05-02 22:27:22,377,376,738,731,339017,16,1159761.17,16,4.25531914893617,3084.4711968085103
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,2026-03-21 16:05:57,2026-05-25 16:05:57,355,351,788,778,357988,11,949963.25,11,3.133903133903134,2706.4480056980055
CMP0000087,60DPD_INTENT,SMS,legacy,2026-03-13 01:08:02,2026-03-30 01:08:02,378,372,728,717,338494,11,1059824.12,11,2.956989247311828,2848.9895698924734
