file,rows,columns,status
recovery_summary.csv,1,5,OK
monthly_recovery.csv,8,8,OK
core_kpis.csv,5,2,OK
recovery_by_dpd.csv,5,9,OK
recovery_by_risk_segment.csv,4,9,OK
recovery_by_loan_type.csv,5,7,OK
recovery_by_dpd_risk.csv,20,5,OK
campaign_performance.csv,120,16,OK
channel_performance.csv,5,8,OK
agent_performance.csv,30000,16,OK
vendor_performance.csv,15,8,OK
ptp_payment_match.csv,18000,16,OK
ptp_fulfillment_summary.csv,3,2,OK
root_cause_evidence.csv,9,4,OK
final_findings.csv,6,6,OK
executive_snapshot.csv,1,10,OK
recovery_claim_test.csv,1,8,OK
recovery_mix_comparison.csv,20,9,OK
standardized_monthly_recovery.csv,8,9,OK
