dpd_bucket,risk_segment,successful_payments,recovered_amount,accounts_with_payment
0-30,HIGH,1986,150518720.7,1501
0-30,LOW,1915,141877268.48,1442
0-30,MEDIUM,1982,145553624.25,1500
0-30,NPA,1861,140574410.24,1412
120+,HIGH,359,27099847.49,282
120+,LOW,420,31100125.49,314
120+,MEDIUM,346,24416138.17,264
120+,NPA,367,27038510.94,286
31-60,HIGH,777,60774035.74,577
31-60,LOW,873,64858147.85,671
31-60,MEDIUM,801,60339039.64,606
31-60,NPA,830,61663585.02,634
61-90,HIGH,775,58810503.58,600
61-90,LOW,787,57756690.39,610
61-90,MEDIUM,798,61321096.01,618
61-90,NPA,748,56545443.57,585
91-120,HIGH,387,28074103.69,306
91-120,LOW,388,29998365.23,303
91-120,MEDIUM,409,32317675.59,295
91-120,NPA,390,30825669.88,303
