dpd_bucket,risk_segment,accounts,outstanding_amount,portfolio_share_pct,recovered_amount,successful_payments,recovery_share_pct,recovery_minus_portfolio_share_pp
0-30,HIGH,3452,1208611372.98,11.522617032524188,150518720.7,1986,11.654899944692913,0.13228291216872456
0-30,LOW,3281,1159492628.03,11.054330451882812,141877268.48,1915,10.985778784663387,-0.06855166721942574
0-30,MEDIUM,3514,1231405293.7,11.739928920363443,145553624.25,1982,11.270444761501205,-0.4694841588622385
0-30,NPA,3318,1182809852.01,11.276631390124583,140574410.24,1861,10.88489643355981,-0.39173495656477364
120+,HIGH,681,235743547.04,2.2475236218679213,27099847.49,359,2.09838357344202,-0.14914004842590112
120+,LOW,727,252732990.21,2.409496983711326,31100125.490000002,420,2.408131355140754,-0.0013656285705718751
120+,MEDIUM,618,203345902.12,1.938652082583606,24416138.169999998,346,1.890579763658246,-0.048072318925360014
120+,NPA,668,228585310.89,2.1792786792595704,27038510.939999998,367,2.0936341884493888,-0.08564449081018166
31-60,HIGH,1345,469885668.14,4.479779624859254,60774035.739999995,777,4.705828633746095,0.2260490088868412
31-60,LOW,1431,498772263.93,4.755177646177562,64858147.85,873,5.022067821692892,0.26689017551533034
31-60,MEDIUM,1359,474679840.13,4.52548613487878,60339039.64,801,4.672146205419214,0.14666007054043373
31-60,NPA,1379,471152528.97,4.491857578537287,61663585.02,830,4.774707825690182,0.2828502471528953
61-90,HIGH,1364,477910200.32,4.556283630400195,58810503.58,775,4.5537892677685,-0.002494362631694891
61-90,LOW,1382,479165712.15,4.568253385377117,57756690.39,787,4.472190864375695,-0.09606252100142232
61-90,MEDIUM,1363,480961562.35,4.5853745994952355,61321096.01,798,4.748188366016706,0.16281376652147017
61-90,NPA,1359,457830921.46,4.364852500621419,56545443.57,748,4.378402128796656,0.013549628175237416
91-120,HIGH,710,254031803.03,2.4218795601592813,28074103.69,387,2.1738217546774843,-0.248057805481797
91-120,LOW,692,243147501.54,2.318111185527349,29998365.23,388,2.3228203351319396,0.004709149604590568
91-120,MEDIUM,679,237786858.93,2.2670040776313165,32317675.59,409,2.5024081635480875,0.23540408591677098
91-120,NPA,678,240983585.07,2.2974809140177377,30825669.88,390,2.38687982802882,0.08939891401108246
