vendor_id,calls,accounts_called,total_duration_sec,attributed_successful_payments,attributed_recovery,paying_accounts,recovery_per_call
VND0000001,6025,5430,2752326,103,7856809.35,101,1304.0347468879668
VND0000002,5934,5359,2669131,92,6865141.46,91,1156.9163228850691
VND0000003,5964,5432,2758371,114,7982596.22,113,1338.463484238766
VND0000004,5925,5372,2713537,100,8676730.34,97,1464.4270616033755
VND0000005,6048,5499,2786826,95,6551525.1,95,1083.2548115079364
VND0000006,5896,5328,2699009,103,7726472.25,103,1310.4600152645862
VND0000007,6069,5480,2740102,115,8601289.35,112,1417.249851705388
VND0000008,5911,5380,2689150,106,8112280.59,103,1372.4040923701573
VND0000009,5972,5385,2735011,80,6350189.57,78,1063.3271215673142
VND0000010,6163,5581,2834879,117,8897576.88,117,1443.708726269674
VND0000011,6072,5508,2788905,111,8636163.72,109,1422.2931027667985
VND0000012,6010,5429,2755795,108,8026620.53,106,1335.5441813643927
VND0000013,5904,5339,2710753,114,9272511.86,112,1570.5474017615174
VND0000014,6041,5457,2781683,119,9625800.77,118,1593.4118142691607
VND0000015,6066,5480,2797888,106,8473581.95,105,1396.8977827233762
